id,first_layer,second_layer,learning_rate,mean_test_score
0,50,1,0.001,-0.7250929675586694
23,100,100,0.1,-0.7456388850194706
45,500,1,0.001,-0.763669419555168
8,50,100,0.1,-0.7671504746144056
46,500,1,0.01,-0.7679778644852513
2,50,1,0.1,-0.7763657722866224
14,50,500,0.1,-0.7831491494329319
35,200,50,0.1,-0.7847995705681676
20,100,50,0.1,-0.7924608222465486
29,100,500,0.1,-0.8011081239036214
1,50,1,0.01,-0.801921416275136
51,500,100,0.001,-0.8092086647255743
57,500,500,0.001,-0.813054146680728
53,500,100,0.1,-0.8152677507735412
38,200,100,0.1,-0.8203112023841607
33,200,50,0.001,-0.8209035345994165
15,100,1,0.001,-0.8225646007854819
11,50,200,0.1,-0.8297550576715848
54,500,200,0.001,-0.8300434014261802
13,50,500,0.01,-0.831497829870141
39,200,200,0.001,-0.8321266578366331
41,200,200,0.1,-0.8336976271337097
42,200,500,0.001,-0.8339986804853217
26,100,200,0.1,-0.8345934465298809
37,200,100,0.01,-0.8447157865534078
58,500,500,0.01,-0.8517714693148413
16,100,1,0.01,-0.8538125759484384
28,100,500,0.01,-0.8584913088738911
56,500,200,0.1,-0.8599804868138726
55,500,200,0.01,-0.8605241760547818
48,500,50,0.001,-0.8658469574357828
50,500,50,0.1,-0.8672042235238123
12,50,500,0.001,-0.8740289755083944
4,50,50,0.01,-0.8777832124531688
22,100,100,0.01,-0.8785415623923634
40,200,200,0.01,-0.8808518431589135
5,50,50,0.1,-0.88649665941874
43,200,500,0.01,-0.8884577260088469
24,100,200,0.001,-0.8892197327495834
3,50,50,0.001,-0.8908526010737189
27,100,500,0.001,-0.8941803442590899
49,500,50,0.01,-0.8943992299692545
19,100,50,0.01,-0.9005719169339986
6,50,100,0.001,-0.9026156239906742
36,200,100,0.001,-0.9032797181003686
44,200,500,0.1,-0.9120233406666113
52,500,100,0.01,-0.9204061115589317
9,50,200,0.001,-0.9240939310588112
34,200,50,0.01,-0.9254236093673415
10,50,200,0.01,-0.928940921055655
7,50,100,0.01,-0.9484271433305203
25,100,200,0.01,-0.9585669885970038
21,100,100,0.001,-0.9764242681148309
18,100,50,0.001,-0.9974507301037067
17,100,1,0.1,-1.0149782810464685
47,500,1,0.1,-1.0238977408323593
31,200,1,0.01,-1.024809253904198
32,200,1,0.1,-1.0251382404270368
30,200,1,0.001,-1.0325841398361817
59,500,500,0.1,-10.609234184331976
